成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
男模觀世陰, 53321786, 50304, 6162, 0, 120047284, 95864, 10173, 1169610, 26233, 司隸, 閒雲
銀劍爆渠王, 51239921, 67768, 1626, 0, 139102813, 148589, 3908, 394337, 27350, 司隸, 銀劍
Suede, 51124944, 137582, 10298, 0, 133181366, 293901, 20111, 278196, 27373, 司隸, 流浪動物
銀劍烈焰, 50718136, 88023, 2609, 0, 116775882, 175084, 10729, 404192, 26645, 司隸, 銀劍
戰神丨土, 50186767, 178880, 5475, 0, 123070286, 393079, 9866, 74726, 28080, 司隸, 炮灰
銀劍右奇, 49718205, 138660, 2133, 0, 130697369, 286172, 6501, 396038, 28210, 司隸, 銀劍
凌魂丨小A, 49682202, 152416, 6533, 0, 114474733, 277167, 10176, 832973, 25670, 司隸, 淩魂
銀劍歐底特, 48507795, 61807, 7525, 0, 132362911, 123956, 17270, 498997, 23570, 司隸, 金槍
星界豆, 47143264, 62945, 20023, 0, 123333976, 174908, 35055, 543031, 28650, 司隸, 天狼星
龍丨馬卡龍, 46673606, 156409, 2222, 0, 136023871, 259056, 5935, 83231, 24040, 司隸, 流浪動物
不吃魚的貓, 46666189, 211871, 11215, 0, 125740622, 390175, 21072, 579200, 26670, 司隸, 炮灰
月丨德瑞克, 45843105, 243509, 843, 0, 128570401, 483978, 1365, 80624, 28270, 司隸, 肥宅
浦喜丨邢, 44556168, 65349, 14564, 0, 82291781, 93423, 17732, 412224, 23623, 司隸, 天狼星
月丨暴君熊, 44239979, 122822, 12331, 0, 143028375, 257194, 20887, 263070, 27230, 司隸, 肥宅
偷食魚嘅貓, 44030096, 182547, 9564, 0, 113881598, 330116, 16311, 391082, 24494, 司隸, 炮灰
啱巴, 43864814, 66383, 2438, 0, 103265513, 104499, 6569, 412589, 24420, 司隸, 炮灰
玩命丨鴛鴦, 43604951, 152606, 2358, 0, 156957337, 413565, 6417, 492428, 25780, 司隸, 淩魂
宇治, 42433980, 208523, 47036, 0, 129188351, 363843, 70861, 80132, 28045, 司隸, 炮灰
銀劍南柏, 42406394, 270065, 3421, 0, 145715381, 523591, 7613, 924456, 28370, 司隸, 金槍
狼燚丨潛農, 42228247, 213176, 9041, 0, 135867779, 372993, 13312, 752355, 30726, 司隸, 閒雲
凌魂丨澀澀, 41659015, 155374, 8518, 0, 99389569, 261458, 12748, 0, 22535, 司隸, 淩魂
銀劍仲達, 41381030, 154995, 2263, 0, 130124764, 339015, 4831, 365631, 27170, 司隸, 金槍
銀劍神鼻, 41171050, 135713, 5944, 368533, 114550657, 237448, 10542, 898931, 29060, 司隸, 銀劍
銀劍陳仔, 40792597, 154749, 5023, 2065838, 128298223, 368299, 8106, 2779808, 30480, 司隸, 銀劍
偷吃魚的貓, 40420573, 142771, 9049, 0, 99259450, 292465, 18798, 291209, 25729, 司隸, 炮灰
愛吃橘里, 40315469, 313326, 10438, 0, 134439746, 587232, 21416, 578768, 31090, 司隸, 淩魂
銀劍傑克, 39923022, 48453, 3340, 0, 106306675, 124869, 7810, 270779, 25275, 司隸, 銀劍
月丨南方的貓, 39416866, 71342, 1763, 0, 98303597, 152664, 4587, 965967, 25153, 司隸, 肥宅
龍丨貓貓龍, 39337285, 98157, 2078, 0, 107079827, 182648, 12262, 482755, 24650, 司隸, 流浪動物
軒風, 39310576, 227623, 1804, 0, 143669560, 374720, 2804, 600710, 24593, 司隸, 肥宅
凌魂丨龐複, 38968084, 23102, 2957, 0, 47271823, 23102, 3307, 650696, 21320, 司隸, 小號
鋼管天竺鼠, 38849444, 91774, 7745, 0, 119841302, 165480, 12062, 810919, 27332, 江漢, 閒雲
九方好漢, 38625757, 195875, 16541, 0, 119022196, 418334, 27701, 408718, 27850, 司隸, 淩魂
阿迪, 38327828, 119404, 4598, 0, 113890746, 251501, 8635, 84695, 28780, 司隸, 炮灰
月丨可以, 38146124, 187173, 5108, 0, 96187386, 340114, 13709, 944545, 23649, 司隸, 肥宅
狼燚丨從一, 37894397, 133085, 5416, 0, 124828055, 326129, 9917, 482231, 27070, 司隸, 閒雲
小彌子, 37741309, 106062, 1114, 203552, 106941300, 199816, 4126, 606597, 27535, 司隸, 淩魂
貪婪丨上兵蘭, 37617875, 168654, 7126, 0, 122310599, 350367, 9965, 473672, 26130, 司隸, 金槍
